title,district_name,open_date,house_type,decoration,min_frame_area,max_frame_area,converged_rooms,tags,longitude,latitude,average_price
德信金科泊岸江宸轩,萧山,2021/04/08,住宅,精装修,89,107,3室:89-107㎡,"成熟商圈,三甲医院,视频看房,品牌房企",120.292876,30.108607,21400
国开东方锦城学府,临安,2021/03/01,住宅,毛坯,78,128,"2室:78㎡,3室:89㎡,4室:115-128㎡","公交直达,配套齐全,成熟商圈,医疗配套",119.705991,30.247343,19000
旭辉珺和府,萧山,2021/04/26,住宅,精装修,89,120,"3室:89-108㎡,4室:120㎡","特价好房,临近高速,视频看房,品牌房企",120.259397,29.981857,14600
南樾府,临安,2020/11/07,住宅,毛坯,68,73,"2室:68-73㎡,3室:68㎡,4室:72㎡","成熟商圈,亲子乐园,三甲医院,3D楼书",119.719789,30.219759,17900
赞成星谷,拱墅,2019/11/01,商业类,精装修,42,64,"1室:42㎡,2室:64㎡","公交直达,近主干道,配套齐全,购物方便",120.107638,30.326532,25000
万科大溪谷,余杭,2020/12/16,住宅,精装修,90,139,3室:97㎡,"公交直达,购物方便,娱乐丰富,医疗配套",120.001786,30.35086,20681
同协金座,江干,2020/08/01,商业类,精装修,45,73,"2室:45-60㎡,4室:73㎡","配套齐全,购物方便,三甲医院,医疗配套",120.218789,30.345555,33000
蓝城久宸里,上城,2018/12/31,商业类,精装修,255,493,"3室:257-259㎡,4室:255-274㎡,6室:493㎡","地铁沿线,公交直达,配套齐全,成熟商圈",120.192695,30.229179,68000
云悦湾,江干,2019/05/29,商业类,精装修,41,41,3室:41㎡,"地铁沿线,多轨交汇,配套齐全,购物方便",120.24866,30.305985,40000
世茂泰禾中央广场,西湖,2019/12/27,商业类,精装修,38,98,"1室:38-45㎡,2室:55㎡,3室:55-67㎡","公交直达,近主干道,配套齐全,购物方便",120.072491,30.2984,42000
万科玖望,富阳,2021/03/01,住宅,精装修,98,135,"3室:98㎡,4室:135㎡","公交直达,近主干道,购物方便,超市",119.999616,30.074198,19890
碧桂园前宸府,萧山,2020/11/28,住宅,精装修,121,139,"3室:121㎡,4室:139㎡","公交直达,近主干道,配套齐全,购物方便",120.290732,30.115997,21300
开元名城,萧山,2018/06/01,商业类,精装修,55,97,"1室:55-59㎡,2室:65-97㎡","地铁沿线,公交直达,成熟商圈,配套齐全",120.273173,30.140144,23000
世茂智慧之门,滨江,2019/01/01,写字楼,毛坯,0,0,,"地铁沿线,配套齐全,购物方便,医疗配套",120.236458,30.221034,27000
绿城九龙仓桂语朝阳,萧山,2020/06/08,别墅,毛坯,198,210,,"多轨交汇,配套齐全,购物方便,医疗配套",120.272705,30.128365,29800
中国铁建国际公馆,拱墅,2018/08/28,商业类,精装修,45,57,2室:45-57㎡,"地铁沿线,公交直达,配套齐全,购物方便",120.166507,30.335387,27000
复地壹中心,拱墅,2018/03/01,商业类,精装修,63,110,2室:63-110㎡,"地铁沿线,近主干道,配套齐全,成熟商圈",120.116095,30.324523,27000
宋都阳光国际,江干,2016/05/15,住宅,毛坯,272,452,"3室:332㎡,4室:272-452㎡","配套齐全,购物方便,医疗配套,视频看房",120.280525,30.301277,38000
泰禾杭州院子,余杭,2018/08/25,别墅,毛坯,195,350,8室:350㎡,"购物方便,娱乐丰富,医疗配套,视频看房",120.039461,30.277736,150000
中港罗兰小镇,余杭,2017/12/01,住宅,毛坯,89,109,3室:89-108㎡,"公交直达,成熟商圈,购物方便,医疗配套",119.927371,30.241774,28090
中港西湖院子,余杭,2020/06/27,别墅,毛坯,150,180,4室:150-180㎡,"公交直达,购物方便,娱乐丰富,医疗配套",119.927371,30.241774,53000
新湖香格里拉,余杭,2019/09/19,别墅,毛坯,160,268,,"公交直达,购物方便,美食云集,医疗配套",120.002657,30.35139,75000
杭州大悦城,拱墅,2019/09/30,商业,毛坯,0,0,,"地铁沿线,公交直达,配套齐全,购物方便",120.135724,30.307599,30000
富春玫瑰园,富阳,2020/06/01,别墅,毛坯,200,288,,"开发区,临近高速,成熟商圈,购物方便",120.016698,30.087278,23000
九龙仓雍景山,富阳,2019/03/01,别墅,毛坯,116,125,"3室:116㎡,4室:125㎡","多轨交汇,开发区,成熟商圈,购物方便",119.982073,30.168408,40000
浅山,淳安,2020/09/01,住宅,毛坯,70,138,"2室:70-80㎡,3室:110㎡,4室:138㎡","临近高速,3D楼书,视频看房,车位充足",119.148773,29.616195,14000
滨湖天地,临安,2021/03/08,住宅,毛坯,126,141,4室:126-141㎡,"近主干道,配套齐全,成熟商圈,医疗配套",119.742193,30.24522,22000
雨润星雨华府,临安,2020/05/02,别墅,毛坯,218,410,4室:330-360㎡,"公交直达,配套齐全,购物方便,医疗配套",119.72217,30.263349,20000
复泰雅宸华庭,余杭,2017/10/01,住宅,毛坯,145,145,4室:145㎡,"公交直达,购物方便,美食云集,医疗配套",119.76664,30.457618,13000
复泰雅宸华庭,余杭,2019/12/01,别墅,毛坯,326,326,6室:326㎡,"公交直达,近主干道,购物方便,美食云集",119.76664,30.457618,22000
万通中心,拱墅,2017/10/01,写字楼,毛坯,0,0,,"地铁沿线,配套齐全,购物方便,医疗配套",120.152953,30.314248,23000
诺德财富中心,萧山,2015/06/27,写字楼,毛坯,0,0,,"地铁沿线,公交直达,配套齐全,购物方便",120.261634,30.239885,27000
钱江浙商创投中心,西湖,2017/02/24,写字楼,毛坯,0,0,,"地铁沿线,公交直达,配套齐全,购物方便",120.114289,30.271868,30000
佳源未来府,余杭,2017/06/01,商业,毛坯,0,0,,"近主干道,成熟商圈,配套齐全,三甲医院",119.945183,30.276938,30000
钱塘ONE,西湖,2018/12/15,商业类,精装修,22,128,"1室:46㎡,2室:28-75㎡,3室:99㎡,4室:128㎡","近主干道,购物方便,超市,三甲医院",120.125087,30.155014,35000
众安恒隆广场,萧山,2017/05/01,写字楼,毛坯,0,0,,"地铁沿线,公交直达,成熟商圈,配套齐全",120.268497,30.184305,19000
金岸提香,余杭,2013/01/01,别墅,毛坯,210,240,4室:219.8-240㎡,"公交直达,成熟商圈,购物方便,医疗配套",119.94102,30.245637,32000
复泰雅宸华庭,余杭,2017/06/01,商业类,精装修,45,50,1室:45-50㎡,"公交直达,近主干道,购物方便,美食云集",119.76664,30.457618,14500
宋都时间名座,余杭,2019/11/01,商业类,精装修,39,61,"1室:39㎡,2室:39-61㎡,4室:53㎡","公交直达,配套齐全,购物方便,医疗配套",120.288423,30.411941,20000
华策中心,西湖,2017/08/05,商业类,精装修,51,81,3室:81㎡,"地铁沿线,多轨交汇,配套齐全,购物方便",120.075797,30.306125,32000
鼎和金座,余杭,2019/11/17,商业类,精装修,45,45,2室:45㎡,"公交直达,开发区,配套齐全,购物方便",120.328274,30.440827,21500
悦青蓝,余杭,2017/12/01,住宅,毛坯,87,135,"2室:87-88㎡,3室:135㎡","公交直达,临近高速,配套齐全,购物方便",119.990943,30.232592,20000
公元帝景,萧山,2018/12/01,别墅,毛坯,285,483,"4室:396㎡,5室:285-483㎡","医疗配套,视频看房,旅游地产,现房",120.345996,30.020405,20000
东海闲湖城,余杭,2018/08/18,别墅,毛坯,200,247,,"多轨交汇,公交直达,成熟商圈,配套齐全",120.001544,30.234317,30000
蓝色春江,桐庐,2018/07/01,住宅,毛坯,139,220,3室:139-220㎡,"公交直达,近主干道,配套齐全,购物方便",119.675063,29.796015,18000
泰禾野风大城小院,富阳,2020/05/01,别墅,毛坯,110,110,,"公交直达,开发区,成熟商圈,购物方便",119.971037,30.143501,22000
京港国际,萧山,2018/11/01,商业类,毛坯,188,245,3室:188-239㎡,"地铁沿线,公交直达,成熟商圈,配套齐全",120.261938,30.240822,36000
永和之星,萧山,2019/06/01,商业类,精装修,38,45,"1室:38㎡,2室:45㎡","近主干道,购物方便,美食云集,医疗配套",120.343168,30.200728,22000
富春硅谷,富阳,2018/12/10,商业类,精装修,45,45,2室:45㎡,"多轨交汇,近主干道,成熟商圈,购物方便",119.992744,30.150766,24000
雨润星雨华府,临安,2019/08/01,住宅,毛坯,89,136,3室:118-136㎡,"公交直达,配套齐全,购物方便,医疗配套",119.72217,30.263349,15600
招商越秀公园1872,江干,2020/04/08,商业,毛坯,0,0,,"地铁沿线,公交直达,配套齐全,购物方便",120.24984,30.305866,46000
东方世贸城,萧山,2018/12/23,商业,毛坯,0,0,,"购物方便,娱乐丰富,医疗配套,现房",120.316722,30.198879,17000
宋都时间名座,余杭,2018/11/30,商业,毛坯,0,0,,"公交直达,配套齐全,购物方便,医疗配套",120.288423,30.411941,21000
